dispatching_base_number,date,active_vehicles,trips,day,month,year,weekday,week,trips_per_vehicle
B02617,2015-02-14,1486,16999,14,2,2015,5,7,11.439434724091521
B02682,2015-02-14,1428,16448,14,2,2015,5,7,11.518207282913165
B02682,2015-02-15,1261,14517,15,2,2015,6,7,11.51229183187946
B02764,2015-02-15,3651,41209,15,2,2015,6,7,11.287044645302657
B02617,2015-02-15,1293,14662,15,2,2015,6,7,11.33952049497293
B02765,2015-02-15,521,5500,15,2,2015,6,7,10.556621880998081
B02512,2015-02-15,210,1996,15,2,2015,6,7,9.504761904761905
B02598,2015-02-15,1003,11517,15,2,2015,6,7,11.482552342971086
B02598,2015-02-16,934,9052,16,2,2015,0,8,9.691648822269807
B02512,2015-02-16,207,1576,16,2,2015,0,8,7.613526570048309
B02617,2015-02-16,1214,11824,16,2,2015,0,8,9.739703459637562
B02764,2015-02-16,3524,33448,16,2,2015,0,8,9.491486946651532
B02682,2015-02-16,1164,11323,16,2,2015,0,8,9.72766323024055
B02765,2015-02-16,508,4875,16,2,2015,0,8,9.596456692913385
B02764,2015-02-17,3826,32473,17,2,2015,1,8,8.487454260324098
B02512,2015-02-17,241,1797,17,2,2015,1,8,7.45643153526971
B02682,2015-02-17,1314,11887,17,2,2015,1,8,9.04642313546423
B02617,2015-02-17,1378,12524,17,2,2015,1,8,9.088534107402031
B02598,2015-02-17,1066,9463,17,2,2015,1,8,8.877110694183864
B02765,2015-02-17,578,4907,17,2,2015,1,8,8.48961937716263
B02598,2015-02-18,1078,9538,18,2,2015,2,8,8.847866419294991
B02682,2015-02-18,1314,11724,18,2,2015,2,8,8.922374429223744
B02617,2015-02-18,1394,12016,18,2,2015,2,8,8.619799139167862
B02765,2015-02-18,586,5059,18,2,2015,2,8,8.633105802047782
B02764,2015-02-18,3842,32317,18,2,2015,2,8,8.41150442477876
B02512,2015-02-18,228,1589,18,2,2015,2,8,6.969298245614035
B02598,2015-02-19,1127,11739,19,2,2015,3,8,10.416149068322982
B02512,2015-02-19,250,2120,19,2,2015,3,8,8.48
B02682,2015-02-19,1428,14591,19,2,2015,3,8,10.217787114845938
B02764,2015-02-19,4110,39110,19,2,2015,3,8,9.51581508515815
B02765,2015-02-19,663,6447,19,2,2015,3,8,9.723981900452488
B02617,2015-02-19,1452,14750,19,2,2015,3,8,10.158402203856749
B02764,2015-02-20,4384,44755,20,2,2015,4,8,10.208713503649635
B02617,2015-02-20,1574,16856,20,2,2015,4,8,10.709021601016518
B02598,2015-02-20,1186,12758,20,2,2015,4,8,10.75716694772344
B02682,2015-02-20,1497,16342,20,2,2015,4,8,10.916499665998664
B02765,2015-02-20,736,7824,20,2,2015,4,8,10.630434782608695
B02512,2015-02-20,272,2380,20,2,2015,4,8,8.75
B02598,2015-02-21,1044,12132,21,2,2015,5,8,11.620689655172415
B02682,2015-02-21,1374,16149,21,2,2015,5,8,11.753275109170305
B02765,2015-02-21,685,7658,21,2,2015,5,8,11.17956204379562
B02617,2015-02-21,1443,16098,21,2,2015,5,8,11.155925155925155
B02512,2015-02-21,238,2149,21,2,2015,5,8,9.029411764705882
B02764,2015-02-21,3981,44194,21,2,2015,5,8,11.101230846520975
B02512,2015-02-22,199,1312,22,2,2015,6,8,6.592964824120603
B02617,2015-02-22,1248,10696,22,2,2015,6,8,8.570512820512821
B02682,2015-02-22,1220,10970,22,2,2015,6,8,8.991803278688524
B02764,2015-02-22,3478,30157,22,2,2015,6,8,8.670787809085681
B02598,2015-02-22,909,8271,22,2,2015,6,8,9.099009900990099
B02765,2015-02-22,566,5034,22,2,2015,6,8,8.89399293286219
B02598,2015-02-23,966,8943,23,2,2015,0,9,9.25776397515528
B02617,2015-02-23,1332,11720,23,2,2015,0,9,8.7987987987988
B02764,2015-02-23,3734,31173,23,2,2015,0,9,8.34841992501339
B02682,2015-02-23,1262,11714,23,2,2015,0,9,9.282091917591126
B02765,2015-02-23,665,5823,23,2,2015,0,9,8.756390977443608
B02512,2015-02-23,238,1844,23,2,2015,0,9,7.7478991596638656
B02764,2015-02-24,3965,34686,24,2,2015,1,9,8.748045397225725
B02512,2015-02-24,247,1869,24,2,2015,1,9,7.566801619433198
B02598,2015-02-24,1061,9954,24,2,2015,1,9,9.381715362865222
B02682,2015-02-24,1346,12497,24,2,2015,1,9,9.284546805349184
B02617,2015-02-24,1456,13719,24,2,2015,1,9,9.42239010989011
B02765,2015-02-24,698,6390,24,2,2015,1,9,9.154727793696274
B02512,2015-02-25,246,1647,25,2,2015,2,9,6.695121951219512
B02598,2015-02-25,1076,9405,25,2,2015,2,9,8.740706319702602
B02765,2015-02-25,706,6178,25,2,2015,2,9,8.75070821529745
B02682,2015-02-25,1395,12693,25,2,2015,2,9,9.098924731182796
B02617,2015-02-25,1473,12811,25,2,2015,2,9,8.697216564833672
B02764,2015-02-25,3934,31957,25,2,2015,2,9,8.123284189120488
B02598,2015-02-26,1134,10661,26,2,2015,3,9,9.401234567901234
B02617,2015-02-26,1539,14461,26,2,2015,3,9,9.396361273554255
B02682,2015-02-26,1465,13814,26,2,2015,3,9,9.429351535836178
B02512,2015-02-26,243,1797,26,2,2015,3,9,7.395061728395062
B02765,2015-02-26,745,6744,26,2,2015,3,9,9.052348993288591
B02764,2015-02-26,4101,36091,26,2,2015,3,9,8.800536454523288
B02765,2015-02-27,786,7563,27,2,2015,4,9,9.622137404580153
B02617,2015-02-27,1551,14677,27,2,2015,4,9,9.462927143778208
B02598,2015-02-27,1114,10755,27,2,2015,4,9,9.654398563734292
B02512,2015-02-27,272,2056,27,2,2015,4,9,7.5588235294117645
B02764,2015-02-27,4253,38780,27,2,2015,4,9,9.118269456853985
B02682,2015-02-27,1510,14975,27,2,2015,4,9,9.917218543046358
B02598,2015-02-28,994,10319,28,2,2015,5,9,10.38128772635815
B02764,2015-02-28,3952,39812,28,2,2015,5,9,10.073886639676113
B02617,2015-02-28,1372,14022,28,2,2015,5,9,10.220116618075801
B02682,2015-02-28,1386,14472,28,2,2015,5,9,10.441558441558442
B02512,2015-02-28,230,1803,28,2,2015,5,9,7.839130434782609
B02765,2015-02-28,747,7753,28,2,2015,5,9,10.378848728246318
